# 
# ****** Theory ******
# Vector Potential-based
# Using 3 NNs
# ****** Obs Data Info ******
# PJ data: orbit 1-50
# cutRj: 4.0
# ****** Neural Network Info ******
# NN Size and Shape: 6*[40];
# NN Activation function: swish;
# NN Optimizer: Adam;
# Dynamic Weights: 1;
# RAD parameter: k=1, c=0, n0=3000, dn=600;
# Epochs: 12000;
# Batch size: 10000;
# Seed: 67890;
# Epoch      Loss     TLoss   LObs_bx   LObs_by   LObs_bz LCol_curlBx LCol_curlBy LCol_curlBz      wObs        LR
0000128 2.394e+01 9.081e+00 5.676e-02 5.923e-02 9.002e-02 3.793e+00 3.199e+00 1.883e+00 7.310e+01 1.944e-03
0000129 2.553e+01 1.083e+01 5.319e-02 6.125e-02 9.067e-02 4.424e+00 3.330e+00 2.869e+00 7.269e+01 1.943e-03
0000130 2.388e+01 8.708e+00 5.012e-02 5.336e-02 8.890e-02 3.712e+00 3.165e+00 1.639e+00 7.988e+01 1.943e-03
0000131 2.271e+01 8.142e+00 5.026e-02 5.430e-02 8.606e-02 3.526e+00 2.721e+00 1.705e+00 7.745e+01 1.942e-03
0000132 2.345e+01 8.744e+00 5.126e-02 6.063e-02 8.749e-02 3.903e+00 2.999e+00 1.642e+00 7.476e+01 1.942e-03
0000133 2.602e+01 1.064e+01 5.388e-02 6.298e-02 8.710e-02 3.749e+00 3.597e+00 3.091e+00 7.641e+01 1.942e-03
0000134 3.170e+01 1.481e+01 6.156e-02 6.845e-02 9.442e-02 4.986e+00 5.034e+00 4.563e+00 7.626e+01 1.941e-03
0000135 2.382e+01 9.103e+00 5.198e-02 5.794e-02 8.603e-02 3.772e+00 3.173e+00 1.962e+00 7.610e+01 1.941e-03
0000136 2.232e+01 7.948e+00 5.205e-02 5.346e-02 8.108e-02 3.546e+00 2.784e+00 1.432e+00 7.805e+01 1.940e-03
0000137 2.725e+01 1.231e+01 4.983e-02 5.639e-02 8.627e-02 4.878e+00 4.230e+00 3.008e+00 7.864e+01 1.940e-03
0000138 2.442e+01 9.358e+00 4.838e-02 5.603e-02 8.395e-02 3.646e+00 3.149e+00 2.375e+00 8.098e+01 1.939e-03
0000139 2.299e+01 8.283e+00 4.897e-02 5.220e-02 7.952e-02 3.545e+00 2.834e+00 1.723e+00 8.238e+01 1.939e-03
0000140 2.454e+01 1.036e+01 4.686e-02 5.162e-02 8.001e-02 4.023e+00 3.754e+00 2.402e+00 8.047e+01 1.938e-03
0000141 2.619e+01 1.083e+01 5.108e-02 5.479e-02 8.445e-02 4.044e+00 3.902e+00 2.689e+00 8.175e+01 1.938e-03
0000142 2.414e+01 9.019e+00 4.546e-02 5.075e-02 7.862e-02 3.991e+00 2.965e+00 1.888e+00 8.746e+01 1.938e-03
0000143 3.060e+01 1.492e+01 4.900e-02 5.720e-02 8.247e-02 5.517e+00 4.178e+00 5.033e+00 8.412e+01 1.937e-03
0000144 2.439e+01 9.397e+00 4.540e-02 4.835e-02 7.571e-02 3.484e+00 3.315e+00 2.429e+00 8.950e+01 1.937e-03
0000145 2.563e+01 1.109e+01 4.556e-02 5.046e-02 7.646e-02 4.356e+00 3.832e+00 2.733e+00 8.526e+01 1.936e-03
0000146 2.702e+01 1.202e+01 4.634e-02 5.269e-02 7.971e-02 4.372e+00 4.151e+00 3.315e+00 8.495e+01 1.936e-03
0000147 2.399e+01 9.599e+00 4.737e-02 4.677e-02 7.581e-02 3.758e+00 3.362e+00 2.309e+00 8.568e+01 1.935e-03
0000148 2.372e+01 9.351e+00 4.714e-02 4.925e-02 7.516e-02 3.644e+00 3.350e+00 2.185e+00 8.473e+01 1.935e-03
0000149 2.729e+01 1.277e+01 4.600e-02 5.007e-02 8.229e-02 4.879e+00 4.380e+00 3.332e+00 8.243e+01 1.935e-03
0000150 2.174e+01 8.227e+00 4.524e-02 4.910e-02 7.351e-02 3.202e+00 2.965e+00 1.893e+00 8.150e+01 1.934e-03
0000151 2.087e+01 7.447e+00 4.250e-02 4.817e-02 7.144e-02 3.163e+00 2.727e+00 1.395e+00 8.383e+01 1.934e-03
0000152 2.191e+01 8.918e+00 4.469e-02 4.539e-02 7.208e-02 3.685e+00 2.982e+00 2.089e+00 8.110e+01 1.933e-03
0000153 2.534e+01 1.078e+01 5.243e-02 5.112e-02 8.013e-02 4.096e+00 3.951e+00 2.546e+00 8.028e+01 1.933e-03
0000154 2.242e+01 8.932e+00 4.623e-02 4.845e-02 7.452e-02 4.012e+00 2.826e+00 1.925e+00 8.069e+01 1.932e-03
0000155 3.891e+01 2.221e+01 4.453e-02 6.644e-02 8.790e-02 6.944e+00 7.891e+00 7.173e+00 8.497e+01 1.932e-03
